"Series Description","Debt service ratio, seasonally adjusted","Mortgage debt service ratio, seasonally adjusted","Consumer debt service ratio, seasonally adjusted","Financial obligations ratio, seasonally adjusted"
"Unit:","Percent","Percent","Percent","Percent"
"Multiplier:","1","1","1","1"
"Currency:","NA","NA","NA","NA"
"Unique Identifier: ","FOR/FOR/DTFD%YPD.Q","FOR/FOR/DTFM%YPD.Q","FOR/FOR/DTFC%YPD.Q","FOR/FOR/DTF%YPD.Q"
"Time Period","DTFD%YPD.Q","DTFM%YPD.Q","DTFC%YPD.Q","DTF%YPD.Q"
1980Q1,10.615740,4.375714,6.240027,15.419559
1980Q2,10.636900,4.484928,6.151972,15.506130
1980Q3,10.406386,4.493386,5.913000,15.262320
1980Q4,10.252837,4.512131,5.740706,15.088144
1981Q1,10.287516,4.596082,5.691433,15.138376
1981Q2,10.416878,4.723624,5.693254,15.324870
1981Q3,10.306743,4.720102,5.586641,15.180660
1981Q4,10.379325,4.802776,5.576550,15.322148
1982Q1,10.447258,4.884527,5.562731,15.425925
1982Q2,10.504029,4.930689,5.573340,15.495569
1982Q3,10.409941,4.890362,5.519579,15.418619
1982Q4,10.380410,4.876376,5.504033,15.426242
1983Q1,10.348922,4.850575,5.498346,15.393660
1983Q2,10.376333,4.850596,5.525737,15.416808
1983Q3,10.381299,4.854205,5.527094,15.394973
1983Q4,10.425534,4.870328,5.555206,15.420396
1984Q1,10.478991,4.895675,5.583316,15.425305
1984Q2,10.607963,4.934267,5.673696,15.540898
1984Q3,10.719033,4.972294,5.746739,15.691755
1984Q4,10.878463,5.042887,5.835576,15.929233
1985Q1,11.220536,5.220030,6.000506,16.369068
1985Q2,11.310744,5.281076,6.029668,16.474531
1985Q3,11.595799,5.408039,6.187760,16.885492
1985Q4,11.725570,5.482499,6.243071,17.066061
1986Q1,11.739687,5.504987,6.234700,17.064555
1986Q2,11.812105,5.542903,6.269203,17.183377
1986Q3,11.917140,5.598595,6.318545,17.330634
1986Q4,12.062025,5.698757,6.363267,17.539071
1987Q1,11.931285,5.705198,6.226087,17.394269
1987Q2,12.067256,5.823345,6.243911,17.600464
1987Q3,11.939659,5.789598,6.150061,17.419134
1987Q4,11.806446,5.733047,6.073399,17.242252
1988Q1,11.752855,5.734042,6.018813,17.145897
1988Q2,11.736396,5.767063,5.969333,17.082064
1988Q3,11.691190,5.791636,5.899554,16.997349
1988Q4,11.569183,5.726589,5.842594,16.849392
1989Q1,11.565868,5.753870,5.811998,16.792459
1989Q2,11.731492,5.859422,5.872069,16.976871
1989Q3,11.793877,5.948757,5.845120,17.053178
1989Q4,11.745679,5.981797,5.763882,17.007589
1990Q1,11.649150,6.013543,5.635607,16.900919
1990Q2,11.600660,6.060000,5.540660,16.875752
1990Q3,11.583131,6.101873,5.481259,16.888249
1990Q4,11.604449,6.184847,5.419602,16.960268
1991Q1,11.578032,6.222793,5.355239,16.960137
1991Q2,11.434237,6.195692,5.238545,16.818953
1991Q3,11.318681,6.181328,5.137354,16.703078
1991Q4,11.117333,6.100082,5.017251,16.479746
1992Q1,10.855581,5.988402,4.867179,16.160733
1992Q2,10.680886,5.906447,4.774439,15.971127
1992Q3,10.540050,5.837651,4.702399,15.826784
1992Q4,10.455215,5.795003,4.660212,15.752581
1993Q1,10.419139,5.766582,4.652557,15.673178
1993Q2,10.354430,5.705527,4.648903,15.593555
1993Q3,10.405427,5.700123,4.705303,15.669738
1993Q4,10.368518,5.613104,4.755414,15.641764
1994Q1,10.388445,5.556527,4.831917,15.690103
1994Q2,10.452491,5.528256,4.924236,15.761009
1994Q3,10.586958,5.551088,5.035871,15.914829
1994Q4,10.699630,5.579557,5.120072,15.995620
1995Q1,10.888513,5.640501,5.248012,16.198637
1995Q2,11.080721,5.686069,5.394652,16.411955
1995Q3,11.185719,5.662631,5.523088,16.529220
1995Q4,11.223493,5.629141,5.594352,16.572483
1996Q1,11.242343,5.589139,5.653204,16.558361
1996Q2,11.269972,5.594550,5.675422,16.557834
1996Q3,11.315366,5.602688,5.712678,16.606741
1996Q4,11.371211,5.594200,5.777011,16.664822
1997Q1,11.328849,5.603136,5.725713,16.631998
1997Q2,11.328918,5.625504,5.703414,16.653272
1997Q3,11.338020,5.619572,5.718448,16.649240
1997Q4,11.288261,5.582594,5.705666,16.548342
1998Q1,11.144147,5.515538,5.628610,16.325270
1998Q2,11.166536,5.494070,5.672466,16.305444
1998Q3,11.152642,5.465615,5.687028,16.275289
1998Q4,11.216343,5.455250,5.761093,16.349509
1999Q1,11.281643,5.474644,5.806999,16.422021
1999Q2,11.433964,5.525257,5.908707,16.602386
1999Q3,11.558227,5.574032,5.984194,16.727187
1999Q4,11.545350,5.585519,5.959830,16.658912
2000Q1,11.503207,5.565322,5.937885,16.532780
2000Q2,11.659949,5.616313,6.043636,16.659057
2000Q3,11.836638,5.658956,6.177682,16.806775
2000Q4,12.063363,5.722097,6.341266,17.057161
2001Q1,12.161004,5.713925,6.447079,17.146432
2001Q2,12.383891,5.789798,6.594093,17.419570
2001Q3,12.323497,5.763094,6.560403,17.298381
2001Q4,12.622888,5.910640,6.712248,17.701585
2002Q1,12.416731,5.799859,6.616872,17.407352
2002Q2,12.336401,5.770171,6.566230,17.275903
2002Q3,12.377288,5.818019,6.559268,17.305008
2002Q4,12.346964,5.844428,6.502536,17.225418
2003Q1,12.345912,5.870282,6.475630,17.177854
2003Q2,12.286180,5.846845,6.439334,17.056280
2003Q3,12.137832,5.781588,6.356244,16.820531
2003Q4,12.213932,5.842779,6.371153,16.900349
2004Q1,12.209204,5.845665,6.363538,16.881295
2004Q2,12.131074,5.837289,6.293786,16.777142
2004Q3,12.243887,5.928786,6.315101,16.896423
2004Q4,12.236402,5.998651,6.237751,16.845997
2005Q1,12.558089,6.241369,6.316720,17.257290
2005Q2,12.559301,6.292542,6.266759,17.253022
2005Q3,12.620301,6.420414,6.199887,17.316001
2005Q4,12.590688,6.487198,6.103490,17.263235
2006Q1,12.608005,6.522667,6.085338,17.248276
2006Q2,12.682648,6.703103,5.979546,17.364641
2006Q3,12.787286,6.852672,5.934614,17.524491
2006Q4,12.869185,6.949422,5.919763,17.665152
2007Q1,12.880983,6.976138,5.904845,17.700840
2007Q2,12.956324,7.020641,5.935682,17.824140
2007Q3,13.076464,7.100457,5.976007,17.988590
2007Q4,13.215153,7.206242,6.008910,18.132773
2008Q1,13.135380,7.136003,5.999377,18.041660
2008Q2,12.791798,6.946554,5.845244,17.609100
2008Q3,12.874559,6.991407,5.883152,17.811283
2008Q4,12.824510,6.959840,5.864670,17.870174
2009Q1,12.755467,6.931087,5.824380,17.926081
2009Q2,12.369977,6.739648,5.630329,17.524281
2009Q3,12.235314,6.660763,5.574551,17.446512
2009Q4,11.962050,6.544072,5.417978,17.145690
2010Q1,11.681743,6.377267,5.304477,16.821553
2010Q2,11.349494,6.210247,5.139247,16.426039
2010Q3,11.141269,6.102932,5.038337,16.223358
2010Q4,10.976751,5.948769,5.027983,16.076502
2011Q1,10.777215,5.715547,5.061668,15.876756
2011Q2,10.692857,5.647423,5.045434,15.834075
2011Q3,10.581254,5.565765,5.015489,15.743540
2011Q4,10.452772,5.439490,5.013281,15.639036
2012Q1,10.201967,5.275326,4.926641,15.344410
2012Q2,10.074306,5.165394,4.908912,15.195968
2012Q3,10.135072,5.148747,4.986325,15.306563
2012Q4,9.814903,4.937976,4.876927,14.874199
2013Q1,10.172811,5.037486,5.135324,15.432247
2013Q2,10.094628,4.938272,5.156356,15.342196
2013Q3,10.052585,4.875733,5.176852,15.307121
2013Q4,10.052504,4.843084,5.209420,15.338126
2014Q1,9.953303,4.742653,5.210650,15.218216
2014Q2,9.888220,4.660603,5.227616,15.145302
2014Q3,9.843456,4.586061,5.257396,15.126226
2014Q4,9.822314,4.526736,5.295578,15.154886
2015Q1,9.817255,4.502577,5.314678,15.230837
2015Q2,9.844729,4.456420,5.388310,15.345423
2015Q3,9.890531,4.429575,5.460956,15.451873
2015Q4,9.837038,4.439174,5.397864,15.455955
2016Q1,9.797415,4.411964,5.385451,15.435929
2016Q2,9.884660,4.408025,5.476635,15.555310
2016Q3,9.941933,4.390803,5.551129,15.618361
2016Q4,9.910507,4.322287,5.588220,15.579722
2017Q1,9.858286,4.277807,5.580480,15.485500
2017Q2,9.825557,4.240681,5.584876,15.420629
2017Q3,9.812182,4.219460,5.592722,15.383523
2017Q4,9.807287,4.191824,5.615463,15.344059
2018Q1,9.719180,4.146419,5.572761,15.176881
2018Q2,9.684349,4.133036,5.551313,15.097957
2018Q3,9.688253,4.109631,5.578622,15.076989
2018Q4,9.716913,4.108428,5.608484,15.096332
2019Q1,9.750672,4.119352,5.631320,15.130529
2019Q2,9.816810,4.124291,5.692520,15.233581
2019Q3,9.842401,4.118747,5.723654,15.262807
2019Q4,9.853071,4.102668,5.750403,15.267688
2020Q1,9.772801,4.066553,5.706248,15.176055
2020Q2,8.797166,3.714814,5.082352,13.731547
2020Q3,9.159511,3.861846,5.297665,14.322287
2020Q4,9.406957,3.967303,5.439655,14.713474
